0.189, 0.026, 0.078, 0.157, 0.550, 7.8653611e-04
0.108, 0.070, 0.035, 0.236, 0.552, 8.0739402e-04
0.135, 0.026, 0.070, 0.236, 0.534, 8.3234635e-04
0.027, 0.096, 0.052, 0.393, 0.432, 1.0682368e-03
0.243, 0.035, 0.017, 0.183, 0.522, 8.2650585e-04
0.243, 0.000, 0.078, 0.079, 0.600, 7.1137216e-04
0.216, 0.061, 0.026, 0.105, 0.592, 7.2299685e-04
0.135, 0.070, 0.026, 0.236, 0.534, 8.2900019e-04
0.000, 0.096, 0.044, 0.445, 0.416, 1.1324865e-03
0.162, 0.017, 0.078, 0.079, 0.664, 6.5663610e-04
0.162, 0.078, 0.000, 0.209, 0.550, 7.9819671e-04
0.135, 0.087, 0.000, 0.236, 0.542, 8.1639599e-04
0.000, 0.044, 0.070, 0.262, 0.625, 7.4137692e-04
0.243, 0.061, 0.026, 0.026, 0.644, 6.5759957e-04
0.189, 0.000, 0.087, 0.209, 0.515, 8.4956507e-04
0.054, 0.061, 0.078, 0.340, 0.466, 9.7880845e-04
0.162, 0.061, 0.026, 0.288, 0.463, 9.5233449e-04
0.054, 0.104, 0.044, 0.314, 0.484, 9.3412549e-04
0.054, 0.009, 0.104, 0.183, 0.650, 6.9683849e-04
0.108, 0.087, 0.000, 0.314, 0.491, 9.1621446e-04
0.081, 0.052, 0.044, 0.262, 0.561, 8.0613518e-04
0.135, 0.009, 0.104, 0.183, 0.569, 7.7513571e-04
0.081, 0.017, 0.113, 0.314, 0.474, 9.5626794e-04
0.027, 0.139, 0.009, 0.209, 0.616, 7.3134213e-04
0.135, 0.052, 0.061, 0.209, 0.542, 8.1137805e-04
0.054, 0.131, 0.009, 0.340, 0.466, 9.7068856e-04
0.054, 0.078, 0.044, 0.340, 0.484, 9.4453660e-04
0.270, 0.044, 0.017, 0.026, 0.643, 6.5943732e-04
0.324, 0.000, 0.052, 0.157, 0.467, 8.9828878e-04
0.027, 0.087, 0.035, 0.209, 0.642, 7.0860715e-04
0.000, 0.070, 0.061, 0.262, 0.608, 7.5824048e-04
0.243, 0.044, 0.044, 0.209, 0.461, 9.2560358e-04
0.027, 0.009, 0.139, 0.340, 0.485, 9.5507033e-04
0.108, 0.026, 0.087, 0.105, 0.674, 6.5518519e-04
0.297, 0.017, 0.035, 0.131, 0.520, 8.1284389e-04
0.135, 0.044, 0.035, 0.209, 0.577, 7.7051087e-04
0.162, 0.035, 0.044, 0.131, 0.629, 6.9812039e-04
0.297, 0.052, 0.017, 0.157, 0.476, 8.7879428e-04
0.324, 0.017, 0.061, 0.052, 0.545, 7.5900577e-04
0.216, 0.009, 0.044, 0.052, 0.679, 6.3948441e-04
0.000, 0.000, 0.104, 0.262, 0.634, 7.3463886e-04
0.081, 0.009, 0.087, 0.393, 0.431, 1.0725130e-03
0.081, 0.078, 0.026, 0.367, 0.448, 1.0160157e-03
0.297, 0.035, 0.017, 0.157, 0.494, 8.5467479e-04
0.351, 0.000, 0.044, 0.026, 0.579, 7.1790374e-04
0.216, 0.035, 0.035, 0.105, 0.610, 7.0791731e-04
0.054, 0.096, 0.009, 0.340, 0.501, 9.1324204e-04
0.000, 0.113, 0.017, 0.314, 0.555, 8.3209496e-04
0.270, 0.026, 0.035, 0.209, 0.460, 9.2700099e-04
0.432, 0.000, 0.035, 0.026, 0.507, 7.9845430e-04
0.270, 0.009, 0.061, 0.157, 0.503, 8.4458240e-04
0.351, 0.026, 0.017, 0.000, 0.606, 6.8561275e-04
0.297, 0.000, 0.052, 0.079, 0.572, 7.3894603e-04
0.243, 0.017, 0.052, 0.052, 0.635, 6.7309852e-04
0.351, 0.061, 0.009, 0.079, 0.501, 8.1710387e-04
0.378, 0.026, 0.009, 0.026, 0.561, 7.3490521e-04
0.108, 0.009, 0.122, 0.105, 0.657, 6.6943329e-04
0.405, 0.009, 0.009, 0.105, 0.473, 8.6867147e-04
0.243, 0.087, 0.009, 0.105, 0.557, 7.5793753e-04
