0.000, 0.088, 0.062, 0.116, 0.734, 6.1592626e-04
0.035, 0.000, 0.114, 0.215, 0.635, 7.1967508e-04
0.106, 0.114, 0.000, 0.000, 0.780, 5.6337004e-04
0.035, 0.009, 0.141, 0.066, 0.749, 5.9651479e-04
0.000, 0.009, 0.114, 0.249, 0.628, 7.3630247e-04
0.053, 0.141, 0.000, 0.199, 0.607, 7.3511673e-04
0.000, 0.035, 0.079, 0.099, 0.786, 5.8221209e-04
0.177, 0.018, 0.097, 0.033, 0.676, 6.3646897e-04
0.124, 0.044, 0.062, 0.133, 0.638, 6.9060472e-04
0.265, 0.026, 0.035, 0.017, 0.657, 6.4716259e-04
0.018, 0.114, 0.026, 0.066, 0.775, 5.7974447e-04
0.141, 0.044, 0.079, 0.099, 0.636, 6.8360374e-04
0.053, 0.097, 0.035, 0.116, 0.699, 6.3852589e-04
0.071, 0.070, 0.026, 0.215, 0.617, 7.3192636e-04
0.141, 0.000, 0.123, 0.050, 0.686, 6.3382847e-04
0.159, 0.026, 0.088, 0.050, 0.677, 6.3945536e-04
0.088, 0.114, 0.000, 0.116, 0.681, 6.5017502e-04
0.053, 0.035, 0.070, 0.083, 0.759, 5.9392877e-04
0.000, 0.079, 0.053, 0.099, 0.769, 5.9150946e-04
0.035, 0.141, 0.000, 0.000, 0.824, 5.4119164e-04
0.018, 0.106, 0.009, 0.116, 0.752, 6.0422707e-04
0.000, 0.114, 0.018, 0.116, 0.752, 6.0430358e-04
0.035, 0.088, 0.044, 0.050, 0.783, 5.7231641e-04
0.106, 0.018, 0.097, 0.099, 0.680, 6.4970332e-04
0.071, 0.114, 0.009, 0.133, 0.674, 6.6036553e-04
0.124, 0.106, 0.000, 0.066, 0.704, 6.2210789e-04
0.124, 0.009, 0.079, 0.099, 0.689, 6.4352767e-04
0.124, 0.079, 0.035, 0.066, 0.696, 6.2872644e-04
0.000, 0.044, 0.088, 0.083, 0.785, 5.7903250e-04
0.194, 0.044, 0.026, 0.099, 0.636, 6.8337822e-04
0.035, 0.035, 0.106, 0.199, 0.625, 7.2332672e-04
0.088, 0.018, 0.079, 0.182, 0.633, 7.1041612e-04
0.159, 0.079, 0.000, 0.066, 0.695, 6.2891584e-04
0.000, 0.106, 0.009, 0.083, 0.803, 5.6888888e-04
0.124, 0.026, 0.070, 0.149, 0.630, 7.0244291e-04
0.053, 0.088, 0.018, 0.116, 0.725, 6.2078182e-04
0.088, 0.079, 0.026, 0.000, 0.806, 5.5054949e-04
0.212, 0.053, 0.026, 0.050, 0.659, 6.5200354e-04
0.071, 0.097, 0.018, 0.066, 0.749, 5.9483750e-04
0.035, 0.114, 0.018, 0.149, 0.684, 6.5771809e-04
0.106, 0.088, 0.018, 0.099, 0.689, 6.4116257e-04
0.035, 0.079, 0.026, 0.182, 0.677, 6.7198710e-04
0.053, 0.062, 0.044, 0.199, 0.643, 7.0509789e-04
0.106, 0.053, 0.062, 0.066, 0.713, 6.1759417e-04
0.071, 0.079, 0.053, 0.166, 0.632, 7.0510790e-04
0.000, 0.000, 0.106, 0.050, 0.845, 5.4291190e-04
0.000, 0.123, 0.035, 0.199, 0.643, 7.0526101e-04
0.088, 0.044, 0.097, 0.033, 0.738, 5.9486694e-04
